proverb_id,proverb,meaning,theme,example
P011,নিজের নাক কেটে পরের যাত্রা ভঙ্গ,অন্যের ক্ষতি করার অন্ধ আক্রোশে নিজের গুরুতর ক্ষতি বা সর্বনাশের ঝুঁকি মেনে নেওয়া।,malice,প্রতিদ্বন্দ্বী দোকানদারের বিক্রি বন্ধ করার জন্য সে নিজের দোকানের পণ্য কেনা দামের চেয়েও কমে বিক্রি করে নিজে দেউলিয়া হলো।
P012,অসারের তর্জন গর্জন সার,অযোগ্য ও ক্ষমতাহীন মানুষই সমাজে নিজেকে জাহির করার জন্য বেশি চিৎকার ও আস্ফালন করে।,superficiality,অফিসের কোনো কাজ না জানা কর্মচারীটি মিটিংয়ে সবচেয়ে বেশি চিত্কার করে নিজেকে দক্ষ প্রমাণ করতে চাইল।
P013,চোরের মার বড় গলা,নিজে দোষ বা অন্যায় করে ধরা পড়ার পরেও উল্টো বুক ফুলিয়ে গলা উঁচিয়ে নিজেকে সঠিক প্রমাণ করার চেষ্টা।,shamelessness,কোম্পানির তহবিল তছরুপ করার প্রমাণ মেলার পরেও হিসাবরক্ষক উল্টো তদন্ত কর্মকর্তাদের বিরুদ্ধে অপবাদের অভিযোগ তুলল।
P014,আপন ভালো তো জগত ভালো,নিজের দৃষ্টিভঙ্গি ও চরিত্র সৎ এবং পরিচ্ছন্ন থাকলে চারপাশের জগৎকেও সুন্দর ও কল্যাণময় মনে হয়।,integrity,নিজে সবার সাথে অমায়িক ও সাহায্যপরায়ণ আচরণ করায় সমাজে সে সবাইকে ভালো মানুষ হিসেবে দেখতে পায়।
P015,সময় গেলে সাধন হবে না,জীবনের সঠিক সময় ও সুযোগ অবহেলায় পার করে দিলে পরে আর কাঙ্ক্ষিত লক্ষ্য অর্জন করা সম্ভব হয় না।,procrastination,বয়স থাকতে পড়াশোনা ও ভবিষ্যৎ গড়ার সুযোগ হেলায় হারিয়ে এখন বৃদ্ধ বয়সে অনুশোচনায় দিন কাটাতে হচ্ছে।
P016,এক মাঘে শীত যায় না,"সাময়িক প্রতিকূলতা কাটিয়ে উঠলেও ভবিষ্যতে আবারও বিপদ আসতে পারে, তাই অসতর্ক না হয়ে সাবধান থাকা আবশ্যক।",caution,এই যাত্রায় বন্যার হাত থেকে ফসল রক্ষা পেলেও আগামী বর্ষায় সুরক্ষার জন্য এখনই টেকসই বাঁধ নির্মাণ জরুরি।
P017,কাটা ঘায়ে নুনের ছিটা,ইতোমধ্যে চরম কষ্টে থাকা মানুষকে কটুকথা বা নতুন কোনো আঘাতে আরও বেশি বেদনাবিদ্ধ করা।,cruelty,"চাকরি হারিয়ে যখন তিনি বিপর্যস্ত, তখন পাওনাদাররা এসে আত্মীয়স্বজনের সামনে তাকে অপমান করল।"
P018,ঘরপোড়া গরু সিঁদুরে মেঘ দেখলে ডরায়,একবার অতীতে ভয়াবহ অভিজ্ঞতার শিকার হলে পরে সামান্য বা ভুয়া ভয়ের সংকেতেই মানুষ আতঙ্কিত হয়ে পড়ে।,fear,ভূমিকম্পে বাড়ি ক্ষতিগ্রস্ত হওয়ার পর সামান্য মেঘের গর্জন বা ট্রাকের শব্দ শুনলেই শিশুটি ভয়ে আঁতকে ওঠে।
P019,কান টানলে মাথা আসে,মূল সূত্রের অনুসন্ধান করলে বা মূল ব্যক্তিকে জবাবদিহির আওতায় আনলে তার সাথে জড়িত পুরো অপরাধ চক্র উন্মোচিত হয়।,connection,জাল নোট চক্রের একজন ক্ষুদ্র বিস্তারকারীকে গ্রেফতার করতেই তার পেছনে থাকা আন্তর্জাতিক সিন্ডিকেটের খোঁজ মিলল।
P020,উলুবনে মুক্তা ছড়ানো,অপাত্রে বা অজ্ঞ মানুষের কাছে মূল্যবান জ্ঞান ও গুণের উপদেশ দিয়ে সময়ের অপচয় করা।,futility,সাহিত্যের মর্ম না বোঝা মানুষের মজলিসে গিয়ে গভীর দার্শনিক কবিতা পাঠ করে সে কোনো সমাদর পেল না।
P021,চোরে চোরে মাসতুতো ভাই,অসৎ ও অপরাধী ব্যক্তিরা সহজেই পরস্পরের প্রতি আকৃষ্ট হয়ে গোপন আঁতাত ও বন্ধুত্ব গড়ে তোলে।,complicity,দুর্নীতিগ্রস্ত ঠিকাদার ও ঘুষখোর কর্মকর্তা যোগসাজশ করে সরকারি প্রকল্পের টাকা ভাগাভাগি করে নিল।
P022,যার জ্বালা সেই বোঝে,"যে ব্যক্তি নিজে গভীর দুঃখ ও যন্ত্রণার ভেতর দিয়ে যায়, তার কষ্টের গভীরতা অন্য কেউ পুরোপুরি উপলব্ধি করতে পারে না।",empathy,"সন্তান হারানোর যে গভীর শোক ও শূন্যতা, তা বাইরে থেকে সান্ত্বনা প্রদানকারী প্রতিবেশীরা পরিমাপ করতে পারে না।"
P023,অল্পবিদ্যা ভয়ংকরী,কোনো বিষয়ে গভীর ও পূর্ণ জ্ঞান না রেখে সামান্য জেনেই পণ্ডিতের মতো আচরণ করা মারাত্মক বিপদ ডেকে আনে।,ignorance,ইউটিউব দেখে আধো আধো ধারণা নিয়ে নিজেই গাড়ির ব্রেক মেরামত করতে গিয়ে সে মাঝপথে দুর্ঘটনায় পড়ল।
P024,চকচক করলেই সোনা হয় না,বাহ্যিক রূপ ও চাকচিক্য দেখেই কোনো জিনিসের ভেতরের আসল গুণ বা মূল্য নিশ্চিত হওয়া যায় না।,appearance,ঝলমলে বিজ্ঞাপন ও আকর্ষণীয় মোড়ক দেখে সস্তা প্রসাধনী কিনে ব্যবহার করার পর তার ত্বক মারাত্মকভাবে ক্ষতিগ্রস্ত হলো।
P025,ডুবন্ত মানুষ খড়কুটো ধরেও বাঁচতে চায়,চরম বিপদের মুখে অসহায় মানুষ সামান্যতম বা অকার্যকর সাহায্য পেলেও তা শেষ সম্বল হিসেবে আঁকড়ে ধরার চেষ্টা করে।,desperation,দুরারোগ্য ক্যান্সারে আক্রান্ত রোগীটি আধুনিক চিকিৎসার আশা হারিয়ে হাতুড়ে কবিরাজের জলপড়ায় শেষ আস্থা খুঁজছে।
P026,জলে কুমির ডাঙায় বাঘ,উভয় দিক থেকেই মারাত্মক বিপদের মুখে পড়ে মাঝখানে কোনো পরিত্রাণ বা নিরাপদ পথ না পাওয়া।,dilemma,"অফিসের অনিয়মের সাক্ষী দিলে চাকরি যাবে, আর চুপ করে থাকলে দুদকের মামলায় জড়াতে ভুল হবে না—এমন উভয়সংকট।"
P027,"ভাবিয়া করিও কাজ, করিয়া ভাবিও না","কোনো কাজ শুরু করার আগেই তার ভালো-মন্দ পরিণতি বিচার করা উচিত, কাজ করার পর অনুশোচনা কোনো কাজে আসে না।",prudence,উত্তেজনার বশে না ভেবেই জমি বিক্রির চুক্তিপত্রে সই করে এখন পরিবারের সবাইকে নিয়ে পথে বসার উপক্রম।
P028,পিপীলিকার পাখা ওঠে মরিবার তরে,পতনের পূর্বে মানুষ অহংকারী ও অতিমাত্রায় বেপরোয়া হয়ে নিজের ধ্বংস নিজেই ডেকে আনে।,hubris,ক্ষমতার অপব্যবহার করে আইনকে বৃদ্ধাঙ্গুলি দেখিয়ে সে এমন ঔদ্ধত্য দেখাল যে শেষমেশ গণআন্দোলনে পদচ্যুত হলো।
P029,দশের লাঠি একের বোঝা,কোনো কঠিন কাজ একজন একা সম্পন্ন করতে না পারলেও সবাই মিলে ঐক্যবদ্ধভাবে হাত লাগালে তা সহজেই সমাধান হয়।,unity,গ্রামের ভাঙা সেতুটি একা কারোর পক্ষে তৈরি অসম্ভব হলেও পুরো গ্রামের মানুষ এক হয়ে চাঁদা ও শ্রম দিয়ে দুই দিনে দাঁড় করাল।
P030,তেলা মাথায় ঢালা তেল,"যার ইতোমধ্যে প্রচুর প্রাচুর্য ও সুবিধা আছে, তাকেই আরও বেশি সাহায্য বা সুবিধা প্রদান করার অসম প্রবণতা।",inequality,দরিদ্র গৃহহীনদের ত্রাণের ব্যবস্থা না করে স্থানীয় প্রভাবশালী ধনী ব্যক্তিদের প্রণোদনা প্যাকেজ বরাদ্দ দেওয়া হলো।
P031,'কিছু না’ শিখলে অকাজ করা শেখা হয়।,অলসে সময় কাটানো অকাজের সামিল।,general,দোকানের হিসাব-নিকাশ সময়মতো সম্পন্ন না করে অলস সময় কাটানো ব্যবসায়িক ধস নামানোর প্রধান কারণ হয়ে দাঁড়ায়। সঠিক সময়ে পাওনাদারের টাকা পরিশোধের ব্যাপারে উদাসীন থাকায় দোকানে বড় ধরনের আর্থিক সংকট দেখা দেয়। অলসতার এই খেসারত হিসেবে ক্ষুদ্র ব্যবসায়ীকে একসময় সর্বস্বান্ত হয়ে পথে বসতে হয়।
P032,"অন্ন নাই যার ঘরে, তার মানে কি বা করে",হাভাতের কোন মানসম্মান নেই।,general,বার্ষিক মূল্যায়নে ভালো কাজের স্বীকৃতি পেতে সুমিত বেশ কিছুদিন ধরে উর্ধ্বতন কর্মকর্তাদের পেছনে ঘুরছিল। কিন্তু তার ব্যাংকে পর্যাপ্ত সঞ্চয় না থাকায় কেউ তার দাবিকে গুরুত্ব দিল না। উল্টো আর্থিক সংকটে থাকা কর্মীকে প্রতিষ্ঠান ছাঁটাইয়ের নোটিশ ধরিয়ে দিল।
P033,আপনি যেমন জগৎ তেমন,আপনার আশিতে পরকে দেখা; আপনি ভালো তো জগৎ ভালো',general,সহকর্মীদের সবসময় চক্রান্তকারী ভাবলে কর্মক্ষেত্রে কোনো দিন শান্তি মেলে না। নিজের মনের ভেতর সংশয় পুষে রাখলে চারপাশের সবাইকেই শত্রু বলে মনে হতে থাকে। অথচ আন্তরিক সহযোগিতার হাত বাড়িয়ে দিলে অফিস পরিবেশ এক নিমিষে বদলে যায়।
P034,ইচ্ছার ভার বোঝা মনে হয় না,যার কাজ করার ইচ্ছা আছে সে আনন্দের সাথে কাজ করে; তার কাছে কাজ করাতে কষ্টবোধ হয় না।,general,বার্ষিক মূল্যায়নের আগে নতুন একটি বিশাল প্রকল্পের নেতৃত্ব দেয়ার প্রস্তাব পেল অয়ন। সে গভীর রাতেও অফিসের ল্যাপটপ খুলে অত্যন্ত আনন্দের সঙ্গে প্রতিটি প্রেজেন্টেশন নিখুঁতভাবে তৈরি করল। তার এই স্বতঃস্ফূর্ত আগ্রহ দেখে ব্যবস্থাপনা কর্তৃপক্ষ তাকে দ্রুত উচ্চ পদে উন্নীত করল।
P035,"ঈশ্বর ঈশ্বর করে যেই, তার ঘরে ভাত নেই",শুধু ভজনায় কার্যসিদ্ধি হয় না।,general,নিয়মিত ওষুধ খাওয়া ও ডায়েট মেনে চলা বাদ দিয়ে কেবল ডাক্তারের অলৌকিক নিরাময়ের আশায় ছিলেন রোগী করিম। সময়মতো প্রয়োজনীয় টেস্টগুলো তিনি সম্পন্ন করাননি। যার ফলে তার শারীরিক অবস্থার আরও মারাত্মক অবনতি ঘটে।
P036,উচিৎ কথার ভাত নাই,উচিৎ কথা দাম পায় না।,general,"বার্ষিক মূল্যায়নের সময় জ্যেষ্ঠ কর্মকর্তাদের সামনে প্রকল্পের বাস্তব ত্রুটিগুলো জোরালোভাবে তুলে ধরেছিল অর্ণব। সে ভেবেছিল সত্য প্রকাশ করলে কাজের মান উন্নত হবে কিন্তু ব্যবস্থাপনা পর্ষদ তার ওপর ক্ষুব্ধ হলো। ফলে, তোষামোদকারী সহকর্মীরা পদোন্নতি পেলেও সে বঞ্চিত রয়ে গেল।"
P037,ঊনো পাঁজুরে বরাখুরে,"হতভাগ্য, অলুক্ষণে বলে গালি।",general,বার্ষিক মূল্যায়নের ঠিক আগের দিন রোহিত সবচেয়ে কঠিন প্রজেক্টের দায়িত্ব নিজের কাঁধে তুলে নিল। সে নিজের সেরাটা দিয়ে কাজ শেষ করলেও সার্ভার ক্র্যাশ করার কারণে প্রজেক্ট সময়মতো জমা দিতে পারল না। শেষ পর্যন্ত বসের ভর্ৎসনা শুনে তার সমস্ত পদোন্নতির সম্ভাবনা চিরতরে ধূলিস্যাত হয়ে গেল।
P038,ঋণং কৃত্বা ধৃতং পিবেৎ,ক্ষণস্থায়ী জীবন দুদিন বইত নয়; সুতরাং যত পারো সুখ ভোগ করে নাও।,general,"ম্যানেজারের কৃপা পেতে রমিত নিজের সামর্থ্যের অতিরিক্ত লোন নিয়ে বিলাসবহুল গাড়ি কিনে ফেলল। সে ভাবল বর্তমান সুযোগটাই সব, তাই ভবিষ্যতের কথা না ভেবে বেতনের পুরো টাকাই জীবনযাত্রার পেছনে ওড়াল। শেষ পর্যন্ত কিস্তির চাপে পড়ে তাকে অফিসেই চরম মানসিক অবসাদের মুখে পড়তে হলো।"
P039,এক ছেলে যার হাজার মানত তার,মা-বাবা অজানা আশঙ্কায় সবসময় ভীত থাকে।,general,অফিসের সবচেয়ে গুরুত্বপূর্ণ প্রজেক্টটি শেষ করার পর থেকেই তানভীর ভাইয়ের মনে এক অজানা আতঙ্ক কাজ করছে। তিনি প্রতিদিন রাতে বাড়ি ফিরেও ল্যাপটপ খুলে বারবার কোডগুলো চেক করছেন যাতে শেষ মুহূর্তে কোনো বড় ভুল ধরা না পড়ে। এই অতিরিক্ত সতর্কতার কারণে তার ওপরের স্তরের কর্তাব্যক্তিদের মন রক্ষা হলেও তার নিজের রাতের ঘুম সম্পূর্ণ উবে গেছে।
P040,ঐ দিন আর নাইরে নাথু খাবলা খাবলা খাবা ছাতু,সুযোগ নেবার দিন শেষ।,general,বিগত বছরগুলোতে সহকর্মীদের পেছনে ফেলে অফিসের ভুল তথ্যের ওপর ভিত্তি করে অনেকে উচ্চ পদ বাগিয়ে নিয়েছিল। বর্তমান ব্যবস্থাপনা পরিচালক আসার পর প্রতিটি কাজের স্বচ্ছতা ও পারফরম্যান্স যাচাই শুরু হয়েছে। ফলে জালিয়াতি করে সুবিধা নেওয়ার সেই স্বর্ণযুগ পুরোপুরি সমাপ্ত হয়েছে।
P041,ওঝার ঘাড়ে ভূতের বোঝা,রক্ষাকর্তার উপর অতিরিক্ত চাপ; যে ব্যক্তি বিপদ থেকে রক্ষা করে সেই বিপদে পড়েছে।,general,অফিসের সব সংকট দূর করার জন্য সিনিয়র ম্যানেজারকে বিশেষ দায়িত্ব দেওয়া হলো। কিন্তু ঊর্ধ্বতন কতৃপক্ষের ভুল সিদ্ধান্তের কারণে উল্টো তার নিজের ওপর ছাঁটাইয়ের খড়্গ নেমে এল। এতে পুরো টিম রক্ষা পেলেও সেই ত্রাণকর্তা নিজেই চাকরি হারানোর আশঙ্কায় পড়ে গেলেন।
P042,"ঔষুধার্থে সুরাপান, পান না বাড়ালেই থাকে মান",পরিমিত সুরাপান স্বাস্থ্যের পক্ষে ভাল।,general,অফিসের বসের অতিরিক্ত তোষামোদ করা কর্মজীবনের অগ্রগতির জন্য ক্ষতিকর হতে পারে। তাই সহকর্মী অর্ক কাজের বেলায় পেশাদার দূরত্ব বজায় রেখে নিজের দায়িত্বটুকু নিখুঁতভাবে পালন করল। এর ফলে সে অফিসে কারো বিরাগভাজন না হয়েই নিজের মেধার জোরে কাঙ্ক্ষিত পদোন্নতি পেল।
P043,"কাজের কথা মনেই থাকুক, মুখে প্রকাশ করো না",মূল্যবান কথা পাঁচকান কর'তে নেই।,general,অফিসের পরবর্তী বড় পদোন্নতির জন্য সুনির্দিষ্ট কৌশলগত পরিকল্পনা সে নিজের ডেস্কে বসে একাই তৈরি করেছিল। সহকর্মীদের কাছে সেই গোপন কৌশল ফাঁস না করে সে সম্পূর্ণ নীরবতা বজায় রেখে কাজ চালিয়ে গেল। শেষ পর্যন্ত সে ছাড়া অন্য কেউ সেই লোভনীয় পদটি পেল না।
P044,খড়ের আগুন যেমনি জ্বলে তেমনি নেভে,"বদরাগীর রাগ চড়তে দেরী হয় না পড়তেও দেরী হয় না; কাজে তাড়াতাড়ি উৎসাহ আসে, আবার তাড়াতাড়ি উৎসাহ উবেও যায়।",general,নতুন একটি প্রোজেক্ট হাতে পাওয়ার সাথে সাথেই রবিন চরম উৎসাহ নিয়ে কাজ শুরু করেছিল। সে রাতদিন এক করে দ্রুত একটি খসড়া রিপোর্ট তৈরি করে ফেলল। কিন্তু প্রথম দফার সামান্য ত্রুটি ধরা পড়তেই তার সব উদ্দীপনা নিমেষেই মিলিয়ে গেল।
P045,গাছে উঠতে পারে না বড় আমটি আমার,অতিরিক্ত/অন্যায় আবদার।,general,অফিসে সবেমাত্র যোগ দেওয়া নতুন কর্মীটি কোনো জটিল প্রজেক্টের কোড বুঝতে না পেরেও সরাসরি পরিচালক পদের জন্য আবেদনপত্র জমা দিল। অথচ তার বেসিক কাজের অভিজ্ঞতাটুকুও ঠিকমতো তৈরি হয়নি। এই ধরনের অবাস্তব দাবি দেখে পুরো ম্যানেজমেন্ট দল অবাক হয়ে গেল।
P046,"ঘরদোর নেইকো যার, আগুনে ভয় কি তার",অভাগার কিছুতে ভয় পাওয়ার নেই।,general,"অফিসের সিনিয়র ম্যানেজার হঠাৎ করে সব কর্মীর বার্ষিক পারফরম্যান্সের ওপর ছাঁটাইয়ের খড়্গ নামালেন। এই আকস্মিক পদক্ষেপে সবাই যখন নিজের চাকরি টিকিয়ে রাখতে চরম উৎকণ্ঠায় দিন কাটাচ্ছিল, তখন নতুন যোগ দেওয়া শিক্ষানবিস কর্মীটি নির্ভার রইল। কারণ তার হারানোর মতো কোনো স্থায়ী পদ বা বিশেষ সুযোগ-সুবিধা আগে থেকেই ছিল না।"
P047,চোর চুরি না করতে পারলে সাধু হয়,চোরে সাধুতে তফাৎ নেই,general,অফিসের সিনিয়র ম্যানেজার পদটির জন্য দীর্ঘদিন ধরে তীব্র গোপন প্রতিযোগিতা চলছিল। কিন্তু হঠাৎ কোনো এক অডিট দল এসে সব হিসাব পাল্টে দিল এবং শীর্ষ পদের প্রার্থীর গোপন দুর্নীতির ফাইল প্রকাশ পেল। ফলে নীতিবান বলে পরিচিত সেই কর্মকর্তা তখন আর নিজের সততা প্রমাণের কোনো সুযোগ পেলেন না।
P048,ছাই পায় না মুড়কি জলপান,যোগ্যতার অতিরিক্ত আশা করা; অল্প পাওয়ার আশা নেই বেশি পাওয়ার আকাঙ্ক্ষা।; হাস্যজনক অভিলাষ।,general,অফিসে সবেমাত্র যোগ দেওয়া নতুন কর্মীটি কোনো বড় প্রোজেক্টের সাফল্য ছাড়াই হঠাৎ করেই সিনিয়র ডিরেক্টর পদ চেয়ে বসল। সে প্রতিষ্ঠানের নিয়মকানুন না জেনেই সরাসরি প্রধান নির্বাহীর কাছে ইমেল পাঠিয়ে বসল। ফলে ব্যবস্থাপনা পর্ষদ তার এমন অবাস্তব উচ্চাশা দেখে কেবল হাসাহাসি করল।
P049,"জলের শত্রু পানা, মানুষের শত্রু কানা",প্রকৃত গুণগ্রাহীরাই গুণীর গুণের কদর করতে পারে।,general,"অফিসের নতুন টিম লিড পদের জন্য প্রজেক্ট ম্যানেজমেন্টে অভিজ্ঞ অনির্বাণের নাম প্রস্তাব করা হয়েছিল। কিন্তু ব্যবস্থাপনা পর্ষদের এক সদস্য যারা নিজেরা কারিগরি কাজে অজ্ঞ, তারা অনির্বাণের কাজের প্রকৃত মূল্য বুঝতে ব্যর্থ হন। ফলে দীর্ঘদিন ধরে নিখুঁত কোডিং ও নেতৃত্ব দেওয়া সত্ত্বেও সে কাঙ্ক্ষিত পদোন্নতি থেকে বঞ্চিত হয়।"
P050,ঝাঁকি/ঝাঁঝরি বলে চালনি তুই বড় ছেঁদা,নিজের দোষ দেখে না পরের দোষ খুঁজে বেড়ায়; পরছিদ্রান্বেষী।,general,মিটিংয়ে আরিফ সাহেবের নিজের প্রজেক্টের বহু ভুল ও অব্যবস্থাপনা গোপন রেখেই তিনি বারবার সহকর্মীদের সামান্য টাইপিং ভুলের তীব্র সমালোচনা করেন। অথচ তিনি নিজেই গত সপ্তাহে কোম্পানির একটি অত্যন্ত গুরুত্বপূর্ণ ক্লায়েন্ট রিপোর্ট জমা দিতে সম্পূর্ণ ব্যর্থ হয়েছিলেন। শেষ পর্যন্ত ব্যবস্থাপনা কর্তৃপক্ষ তার এই অন্যের ত্রুটি খোঁজার স্বভাব ধরে ফেললে তার পদোন্নতির সুযোগ চিরতরে হাতছাড়া হয়ে যায়।
P051,টাকা যার মামলা/শক্তি তার,অর্থের কাছে বিচার নতজানু হয়; অর্থের জোরে বিচার কেনা যায়; যে বেশি খরচ করে সে মকদ্দমায় জেতে।,general,বার্ষিক মূল্যায়নে অফিসের সিনিয়র কর্মকর্তার নজর কাড়তে মেধাবী কর্মীরা কঠোর পরিশ্রম করলেও শীর্ষ পদটি পেল এক লবিংকারী অলস কর্মী। শীর্ষ ব্যবস্থাপনা পর্ষদের এক সদস্যের সাথে ওই কর্মীর গোপন আর্থিক লেনদেন থাকায় সমস্ত নিয়ম শিথিল করা হয়। ফলে বছরের পর বছর সততার সাথে কাজ করা জ্যেষ্ঠ কর্মকর্তারা বঞ্চনার শিকার হয়ে হতাশায় নিমজ্জিত হলেন।
P052,ঠেলায় না পড়লে বিড়াল গাছে ওঠে না,বিপদে পড়লে যে কোনভাবে আত্মরক্ষা করতে হয়। ।,general,বার্ষিক মূল্যায়নের ঠিক আগের রাতে কর্মীর চাকরির মেয়াদ শেষ হওয়ার নোটিশ আসে। তখন সে রাতভর পরিশ্রম করে সমস্ত অসমাপ্ত প্রজেক্ট জমা দেয়। তার এই আকস্মিক তৎপরতা দেখে ঊর্ধ্বতন কর্তৃপক্ষ তাকে পদোন্নতি দিতে বাধ্য হয়।
P053,ডানহাতের কাজ বামহাত যেন না জানে,কোন গোপন কাজ কেউ যেন না জানে।,general,বার্ষিক পদোন্নতির জন্য সুমিত গোপনে তার নতুন প্রজেক্টের নীল নকশা তৈরি করছিল। সে সহকর্মীদের ঘুণাক্ষরেও বুঝতে দেয়নি সে কতটা পরিশ্রম করছে। শেষ পর্যন্ত গোপনীয়তা রক্ষা করায় প্রতিদ্বন্দ্বীরা টের পাওয়ার আগেই সে শীর্ষ পদে উন্নীত হলো।
P054,ঢাকের দায়ে মনসা বিক্রি,আসল খরচ থেকে আড়ম্বরের খরচ বেশি; অসার বাহ্যাড়ম্বর করতে গিয়ে আসল জিনিস হারানো।,general,"বার্ষিক পদোন্নতির পার্টিতে বসের মন জয় করতে গিয়ে সুমিত তিন মাসের জমানো সম্পূর্ণ বেতন খরচ করে এক বিলাসবহুল অনুষ্ঠানের আয়োজন করেছিল। শেষ পর্যন্ত কাঙ্ক্ষিত পদোন্নতি তো দূরে থাক, উল্টো বিশাল ঋণের বোঝা ঘাড়ে নিয়ে সে নিজের শেষ সম্বলটুকু হারাতে বসেছে। অসার বাহ্যিক প্রদর্শনীতে অতিরিক্ত ব্যয় করতে গিয়ে তার ক্যারিয়ারের আসল নিরাপত্তা আজ চরম সংকটে পড়েছে।"
P055,"তলোয়ার যার, দেশ তার- পাঞ্জাবী প্রবাদ",জিস্‌কি লাঠ উস্‌কি ভৈঁস; জিস্দা‌ তেগ উস্‌দা দেগ; জোর যার মুল্লুক তার; লাঠি যাঢ় মাটি তার।,general,অফিসের বার্ষিক মূল্যায়নে ভালো ফলাফলের জন্য অনেক জুনিয়র কর্মী কঠোর পরিশ্রম করলেও শেষ মুহূর্তে ঊর্ধ্বতন কর্মকর্তাদের তোষামোদকারীরাই সমস্ত কৃতিত্ব কেড়ে নেয়। যোগ্যতা থাকা সত্ত্বেও পেছনের সারির কর্মীরা সুযোগ পায় না। ফলে ক্ষমতার কেন্দ্রের কাছাকাছি থাকা ব্যক্তিরাই কাঙ্ক্ষিত পদোন্নতি ও ইনক্রিমেন্ট নিশ্চিত করে।
